,tienda,categoría,id_producto,producto,marca,uds_en_paquete,uds,kg,precio_ud,precio_kg
84,Mercadona,Pan y cereales,p9,Bollitos blancos,-,11.0,1.0,,1.1,
85,Mercadona,Pescado,p36,Gambas cong.,-,,1.0,0.36,4.95,13.750000000000002
86,Mercadona,Pescado,p37,Sepia cong.,-,,1.0,0.36,4.0,11.11111111111111
87,Mercadona,Pescado,p38,Merluza cong. entera,-,,1.0,1.0,5.0,5.0
88,Mercadona,Pescado,p71,Caballa,-,,,1.578,6.2331,3.95
89,Mercadona,Verdura,p1,Lechuga iceberg,-,,1.0,0.25,0.69,2.76
90,Mercadona,Verdura,p17,Zanahorias,-,,1.0,1.0,1.09,1.09
91,Mercadona,Verdura,p18,Calabacín,-,,,0.962,1.72198,1.79
92,Mercadona,Verdura,p3,Ajo,-,,1.0,0.25,1.65,6.6
93,Mercadona,Verdura,p35,Escarola,-,,1.0,0.15,0.85,5.666666666666667
94,Mercadona,Verdura,p43,Guisantes cong.,-,,1.0,1.0,1.6,1.6
95,Mercadona,Verdura,p44,Judías verdes cong.,-,,1.0,1.0,1.55,1.55
96,Mercadona,Verdura,p48,Canonigos-rúcula,-,,1.0,,1.38,
97,Mercadona,Verdura,p53,Seta shiitake,-,,1.0,0.208,2.13,10.24
98,Mercadona,Verdura,p70,Jengibre,-,,1.0,0.267,2.26,8.45
99,Mercao,Aperitivos,p98,Palomitas,-,,,0.79,2.0066,2.54
100,Mercao,Fruta,p8,Manzanas,-,,,1.304,2.3472,1.8
101,Mercao,Hierbas,p100,Té negro,-,,,0.1,1.69,16.9
102,Mercao,Hierbas,p101,Té verde,-,,,0.13,1.6601,12.77
103,Mercao,Hierbas,p99,Manzanilla,-,,,0.048,0.96,20.0
104,Mercao,Huevos,p14,Huevos camperos,-,6.0,1.0,,1.7,
105,Mercao,Verdura,p19,Champiñones,-,,,0.488,1.7812,3.65
106,Mercao,Verdura,p20,Coliflor,-,,1.0,,2.35,
107,Mercao,Verdura,p21,Espinacas (bolsa),-,,1.0,0.3,1.45,4.833333333333333
108,Mercao,Verdura,p22,Naranjas,-,,,1.884,2.9202,1.55
109,Mercao,Verdura,p23,Pepino,-,,,0.25,0.31,1.24
110,Obrador,Bebidas,p77,Vino,-,,1.0,,2.75,
111,Obrador,Charcutería,p15,Jamón serrano,-,,,0.26,3.9,15.0
112,Obrador,Charcutería,p81,Jamón York,-,,,0.255,3.1875,12.5
113,Obrador,Conservas,p78,Garbanzos cocidos,-,,1.0,,1.1,
114,Obrador,Conservas,p80,Anchoas,-,,1.0,0.05,2.0,40.0
115,Obrador,Encurtidos,p79,Aceitunas negras,-,,2.0,0.15,1.0,6.666666666666667
116,Obrador,Huevos,p14,Huevos camperos,-,6.0,3.0,,1.8,
117,Obrador,Pan y cereales,p109,Colines,-,,1.0,,0.75,
118,Obrador,Pan y cereales,p82,Pan Jose,-,,1.0,,1.85,
119,Online,Bebidas,p105,Kombucha,Naturitas,,1.0,0.5,3.79,7.58
120,Online,Pan y cereales,p104,Trigo sarraceno,Naturitas,,1.0,1.0,4.99,4.99
